Model,Features,F1 Score,AUC-ROC,Precision,Recall,Training Time (s)
MLP,Vector,0.9830,0.9994,0.9864,0.9797,31.6795
LSTM,Vector,0.9785,0.9994,0.9720,0.9852,55.1979
LSTM,GA,0.9829,0.9996,0.9769,0.9890,52.7206
LSTM,Hybrid,0.9814,0.9995,0.9860,0.9768,52.4115
